ID,Parent Company,Acquired Company,Business,Acquisition Date
180,Twitter,Fabula AI,Geometric deep learning & fake-news detection,2019-06-01
181,Twitter,Aiden.ai,AI-powered digital marketing,2019-11-01
182,Twitter,Chroma Labs,Visual Stories App,2020-02-01
183,Twitter,CrossInstall,Programmatic interactive mobile ads at scale,2020-05-01
184,Twitter,Squad,Real-time social video,2020-12-01
185,Twitter,Breaker,Social podcasting,2021-01-01
186,Twitter,Ueno,Creative agency,2021-01-01
187,Twitter,DriveScale,Storage Technology,2021-01-01
188,Twitter,Revue,Newsletter platform,2021-01-01
189,Amazon,Bookpages,Unknown,1998-04-01
190,Amazon,Telebook,Unknown,1998-04-01
191,Amazon,IMDb,Unknown,1998-04-01
192,Amazon,Junglee,Unknown,1998-08-01
193,Amazon,PlanetAll,Unknown,1998-08-01
194,Amazon,LiveBid.com,Unknown,1999-04-01
195,Amazon,Accept.com,Unknown,1999-04-01
196,Amazon,Alexa Internet,Unknown,1999-04-01
197,Amazon,e-Niche Incorporated,Unknown,1999-04-01
198,Amazon,Convergence Corporation,Unknown,1999-10-01
199,Amazon,Tool Crib of the North (Online and Catalog Sales Division),Unknown,1999-11-01
200,Amazon,Back to Basics Toys,Unknown,1999-11-01
201,Amazon,Leep Technology Inc.,Unknown,1999-12-01
202,Amazon,MindCorps Incorporated,Unknown,
203,Amazon,Egghead Software,Unknown,2001-12-01
204,Amazon,OurHouse.com,Unknown,2001-12-01
205,Amazon,Joyo.com,Unknown,2004-08-01
206,Amazon,BookSurge,Unknown,2005-04-01
207,Amazon,Mobipocket,Unknown,2005-04-01
208,Amazon,CustomFlix,Unknown,2005-07-01
209,Amazon,smallparts.com,Unknown,
210,Amazon,Shopbop,Unknown,2006-02-01
211,Amazon,TextPayMe,Unknown,2006-10-01
212,Amazon,Digital Photography Review,Unknown,2007-05-01
213,Amazon,Brilliance Audio,Unknown,2007-05-01
214,Amazon,Withoutabox,Unknown,2008-01-01
215,Amazon,Audible,Unknown,2008-01-01
216,Amazon,Fabric.com,Unknown,2008-06-01
217,Amazon,AbeBooks,Unknown,2008-08-01
